# word	per_million
幫助	274.8327
塊	274.2602
成	273.8972
能力	273.5281
滿	272.6457
第	272.6209
努力	270.7027
較	269.4033
老	269.3019
小朋友	268.7497
小時	267.9375
政治	267.8904
首	266.3469
支持	265.7147
頭	263.8804
企業	263.4729
總統	262.8810
那些	262.6170
方法	262.5828
進入	262.5394
美	262.2394
臉	261.5036
車	261.0963
更多	260.8859
產生	260.7960
情況	260.0583
醫院	259.7501
相當	259.1595
如此	258.8837
即	258.3317
安全	258.1603
傳統	256.9738
社區	256.9183
利用	256.5416
作品	256.4664
近	256.3807
剛	256.2556
面對	255.2815
成功	254.3739
藝術	253.4253
哪	251.0686
看看	250.8610
片	250.4435
直接	249.8400
十	249.5247
相關	249.5110
父親	249.3021
地區	248.2990
不斷	247.3837
出	246.3582
昨	245.9651
越	245.8062
加上	245.5947
學	245.3859
某	244.2061
超過	244.1291
就是說	243.9367
人生	243.6776
謝謝	243.6669
系統	243.5807
方面	243.0016
坐	241.8842
空間	241.8747
少	241.7155
久	241.4921
到底	241.4116
臺灣	240.5273
產業	239.8040
幾乎	239.0872
所謂	238.2347
辦法	237.2851
簡單	237.0640
嚴重	237.0189
照顧	235.9182
事實	235.4940
字	234.6939
精神	234.6101
住	233.7042
醫師	232.2015
口	231.9899
提出	231.8740
政策	230.8795
就是	230.2294
常常	229.8421
小孩	229.5257
強調	228.9962
得到	228.6566
相信	228.3455
由於	228.2254
出來	226.9854
六	226.7336
受到	226.6894
死	226.4189
舉辦	226.1250
行動	226.0084
喝	225.5897
站	225.5422
知	225.4625
原因	225.2628
時代	225.1423
靠	225.0709
句	224.7034
獲得	223.6270
參與	223.2765
兩岸	223.0226
清楚	222.3325
慢慢	221.7688
共	221.6492
找到	219.3907
解決	219.3752
尤其	219.2530
母親	218.5431
土地	216.4735
現場	216.2875
父母	215.5362
成長	215.2994
基本	214.8939
個人	214.7812
表現	214.6944
全球	214.6463
玩	213.7479
真正	213.4208
有時候	212.8798
管理	212.8724
調查	212.7214
兒子	212.2295
討論	212.1292
行為	212.0891
回來	211.9827
分鐘	211.6896
聲音	211.4357
不少	211.4208
建議	210.7484
同學	210.2866
早	210.2421
原來	209.9179
以上	209.2039
指	209.0388
了解	208.2904
人類	207.4375
產品	205.6935
認識	205.3658
資源	204.7689
持續	203.9786
怕	203.5124
組織	203.4155
力量	203.3785
協助	203.1955
