# phrase	weight	tags
千香	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=5000
半季	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=200
南電	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=21,signal_30=21,windows_14=24h+48h+7d,max_traffic=5000
台化	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=13,signal_30=13,windows_14=24h+7d,max_traffic=200
台半	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=2000
台灣中油	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=10000
台燿	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=500
台達電	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=21,signal_30=21,windows_14=24h+48h+7d,max_traffic=10000,derived_from=台達電一直跌
合晶	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=2000
合聖科技	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=200
同欣電	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=500
吳子嘉	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=20000
吳明賢	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=50000
吳永吉	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-28,last_seen=2026-06-29,seen_days_30=2,signal_14=11,signal_30=11,windows_14=24h+48h+7d,max_traffic=200
吳蓓雅	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=5000
吳辰君	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
周韋翰	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=5000
喜傑獅	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=2000
嘉晶	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
四貸同堂	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-27,seen_days_30=2,signal_14=8,signal_30=8,windows_14=48h+7d,max_traffic=500
埤塘	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-28,last_seen=2026-06-29,seen_days_30=2,signal_14=11,signal_30=11,windows_14=24h+48h+7d,max_traffic=1000,derived_from=龍山埤塘生態公園
夏宇禾	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
奇鋐	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=200
字母哥	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=10000
孫安佐	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
孫藝真	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=2000
宏齊	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
富采	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
小蔡電器	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
尬電禪師	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=5000
屠穎	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=20000
岩手縣	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=5000
常如山	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=500
常石磊	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=1000
康霈	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=500
廢校	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=18,signal_30=18,windows_14=24h+48h+7d,max_traffic=2000
廣化	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
張仁瑋	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
張凌赫	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=5000
張天立	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
張立齊	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=2000
張蔚誠	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=2000
強藝元	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
彭佳慧	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-28,last_seen=2026-06-28,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=2000
徐永煌	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=100
徐翔聖	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=2000
徐薇淩	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-27,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=100
愛力戈	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=6,signal_30=6,windows_14=24h+48h+7d,max_traffic=1000
敖尹	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
新纖	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
施可瑩	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=10000
