# qstring<TAB>symbol<TAB>tags
_punctuation_[	『	punctuation,quote,opening,alternative
_punctuation_[	《	punctuation,bracket,opening,alternative
_punctuation_[	〈	punctuation,bracket,opening,alternative
_punctuation_[	【	punctuation,bracket,opening,alternative
_punctuation_[	〔	punctuation,bracket,opening,alternative
_punctuation_[	｛	punctuation,bracket,opening,alternative
_punctuation_[	“	punctuation,quote,opening,alternative
_punctuation_[	‘	punctuation,quote,opening,alternative
_punctuation_[	﹁	punctuation,quote,opening,vertical
_punctuation_[	﹃	punctuation,quote,opening,vertical
_punctuation_]	』	punctuation,quote,closing,alternative
_punctuation_]	》	punctuation,bracket,closing,alternative
_punctuation_]	〉	punctuation,bracket,closing,alternative
_punctuation_]	】	punctuation,bracket,closing,alternative
_punctuation_]	〕	punctuation,bracket,closing,alternative
_punctuation_]	｝	punctuation,bracket,closing,alternative
_punctuation_]	”	punctuation,quote,closing,alternative
_punctuation_]	’	punctuation,quote,closing,alternative
_punctuation_]	﹂	punctuation,quote,closing,vertical
_punctuation_]	﹄	punctuation,quote,closing,vertical
_punctuation_<	、	punctuation,comma,alternative
_punctuation_<	,	punctuation,comma,halfwidth
_punctuation_>	．	punctuation,period,alternative
_punctuation_>	.	punctuation,period,halfwidth
_punctuation_>	‧	punctuation,dot,interpunct
_punctuation_?	?	punctuation,question,halfwidth
_punctuation_?	⁇	punctuation,question,alternative
_punctuation_?	⁈	punctuation,question,alternative
_punctuation_!	!	punctuation,exclamation,halfwidth
_punctuation_!	‽	punctuation,exclamation,alternative
_punctuation_!	⁉	punctuation,exclamation,alternative
_punctuation_~	~	punctuation,tilde,halfwidth
_punctuation_~	〜	punctuation,tilde,alternative
_punctuation_(	︵	punctuation,bracket,opening,vertical
_punctuation_(	(	punctuation,bracket,opening,halfwidth
_punctuation_)	︶	punctuation,bracket,closing,vertical
_punctuation_)	)	punctuation,bracket,closing,halfwidth
_punctuation_|	、	punctuation,comma,ideographic,primary
_punctuation_Standard_<	、	punctuation,comma,alternative
_punctuation_Standard_<	,	punctuation,comma,halfwidth
_punctuation_Standard_>	．	punctuation,period,alternative
_punctuation_Standard_>	.	punctuation,period,halfwidth
_punctuation_Standard_>	‧	punctuation,dot,interpunct
_punctuation_ETen_<	、	punctuation,comma,alternative
_punctuation_ETen_<	,	punctuation,comma,halfwidth
_punctuation_ETen_>	．	punctuation,period,alternative
_punctuation_ETen_>	.	punctuation,period,halfwidth
_punctuation_ETen_>	‧	punctuation,dot,interpunct
_punctuation_ETen26_,	、	punctuation,comma,alternative
_punctuation_ETen26_,	,	punctuation,comma,halfwidth
_punctuation_ETen26_.	．	punctuation,period,alternative
_punctuation_ETen26_.	.	punctuation,period,halfwidth
_punctuation_ETen26_.	‧	punctuation,dot,interpunct
_punctuation_Hsu_,	、	punctuation,comma,alternative
_punctuation_Hsu_,	,	punctuation,comma,halfwidth
_punctuation_Hsu_.	．	punctuation,period,alternative
_punctuation_Hsu_.	.	punctuation,period,halfwidth
_punctuation_Hsu_.	‧	punctuation,dot,interpunct
_punctuation_HanyuPinyin_,	、	punctuation,comma,alternative
_punctuation_HanyuPinyin_,	,	punctuation,comma,halfwidth
_punctuation_HanyuPinyin_.	．	punctuation,period,alternative
_punctuation_HanyuPinyin_.	.	punctuation,period,halfwidth
_punctuation_HanyuPinyin_.	‧	punctuation,dot,interpunct
